naics_code,sector_2d,sector_label,n_years,monthly_seasonal_amplitude,monthly_peak_month,monthly_peak_quarter_from_month,monthly_peak_excess_month,monthly_n_excess_obs,monthly_seasonal_index,idio_monthly_seasonal_amplitude,idio_monthly_peak_month,idio_monthly_peak_quarter_from_month,idio_monthly_peak_excess_month,idio_monthly_n_excess_obs,idio_monthly_seasonal_index,placebo_amplitude,n_perms_used,signal_amplitude,signal_index,national_industry_title,sector_title,subsector_title,industry_group_title,naics_industry_title
111110,11,"Agriculture, forestry, fishing",24,0.1550389506864644,10,4,0.06632907478929782,24,0.4332210380194943,0.14335867522821458,10,4,0.06317474417207336,24,0.3934899696680544,0.08472564805702575,10.0,0.05863302717118883,0.3674492489926608,Soybean Farming,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming,Soybean Farming
111120,11,"Agriculture, forestry, fishing",24,0.14516474623806414,12,4,0.06006102934812745,23,0.40562982251002216,0.12983532751861862,12,4,0.0532575554697073,23,0.35637117185837586,0.11329207632473896,10.0,0.016543251193879657,0.10367544574050289,Oilseed (except Soybean) Farming,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming,Oilseed (except Soybean) Farming
111130,11,"Agriculture, forestry, fishing",24,0.13282032266925628,10,4,0.0704748828583362,24,0.3711361422538506,0.12158990066527026,10,4,0.06732055224111175,24,0.33373917726677366,0.15955024022119782,10.0,0.0,0.0,Dry Pea and Bean Farming,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming,Dry Pea and Bean Farming
111140,11,"Agriculture, forestry, fishing",24,0.2584091831355877,10,4,0.13753757042105774,24,0.7220656103262862,0.25183402699104257,10,4,0.1343832398038333,24,0.6912324174615873,0.11743811925952799,10.0,0.13439590773151458,0.8422501403423731,Wheat Farming,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming,Wheat Farming
111150,11,"Agriculture, forestry, fishing",24,0.3676613842962611,7,3,0.24224888412251208,24,1.0,0.3732173187156623,7,3,0.24237452145283095,24,1.0,0.136800991245455,10.0,0.23641632747020733,1.0,Corn Farming,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming,Corn Farming
111160,11,"Agriculture, forestry, fishing",24,0.2415031792472512,10,4,0.15126147397135384,24,0.6748256327539525,0.2298229037890014,10,4,0.1481071433541294,24,0.6308164280745259,0.12204276430771235,10.0,0.10778013948128903,0.6754509057343097,Rice Farming,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming,Rice Farming
111191,11,"Agriculture, forestry, fishing",24,0.15744809058559478,10,4,0.07121016287778255,24,0.439952830792951,0.14576781512734494,10,4,0.06805583226055809,24,0.4001025613673416,0.09798423384182005,10.0,0.04778358128552489,0.29945649925736006,Oilseed and Grain Combination Farming,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming,Other Grain Farming
111199,11,"Agriculture, forestry, fishing",24,0.19540880928973814,10,4,0.12085278203165235,24,0.5460254137674871,0.18372853383148832,10,4,0.11769845141442789,24,0.5042968978990671,0.10199270558747213,10.0,0.08173582824401619,0.5122329539010207,All Other Grain Farming,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming,Other Grain Farming
111211,11,"Agriculture, forestry, fishing",24,0.5199531409288527,10,4,0.3189054836935495,24,1.0,0.5151210909264285,10,4,0.315751153076325,24,1.0,0.2009740784464519,10.0,0.3141470124799767,1.0,Potato Farming,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Vegetable and Melon Farming,Vegetable and Melon Farming
111219,11,"Agriculture, forestry, fishing",24,0.13443838588430604,10,4,0.08481253665725606,24,0.375657451399077,0.1227581104260562,10,4,0.0816582060400316,24,0.3369456719041286,0.14262254053238432,10.0,0.0,0.0,Other Vegetable (except Potato) and Melon Farming,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Vegetable and Melon Farming,Vegetable and Melon Farming
111310,11,"Agriculture, forestry, fishing",24,0.0579112589822062,1,1,0.02874356699988713,23,0.16181982410357904,0.06406725544399428,1,1,0.0372695118409125,23,0.17585139065522856,0.09649349996346204,10.0,0.0,0.0,Orange Groves,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming,Orange Groves
111320,11,"Agriculture, forestry, fishing",24,0.07207781547497588,6,2,0.028177582211453358,24,0.20140503983024416,0.06652188105557466,6,2,0.022747285122371008,24,0.18258883124547964,0.10779064279506947,10.0,0.0,0.0,Citrus (except Orange) Groves,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming,Citrus (except Orange) Groves
111331,11,"Agriculture, forestry, fishing",24,0.6320013989137331,10,4,0.38257245166685366,24,1.0,0.6322430986647405,10,4,0.3794181210496292,24,1.0,0.29598063726046114,10.0,0.33626246140427934,1.0,Apple Orchards,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming,Noncitrus Fruit and Tree Nut Farming
111332,11,"Agriculture, forestry, fishing",24,0.260467389378924,9,3,0.1340189026697597,24,0.7278167989227542,0.262210495521045,9,3,0.13743972819708036,24,0.7197136815401812,0.13840756812037203,10.0,0.12380292740067295,0.7758646430389962,Grape Vineyards,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming,Noncitrus Fruit and Tree Nut Farming
111333,11,"Agriculture, forestry, fishing",24,0.18885469780001857,6,2,0.10819218404485538,24,0.5277114418894532,0.19022787458935636,6,2,0.10276188695577303,24,0.5221362466068076,0.208656375545966,10.0,0.0,0.0,Strawberry Farming,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming,Noncitrus Fruit and Tree Nut Farming
111334,11,"Agriculture, forestry, fishing",24,0.5767049093215645,7,3,0.42151393416260774,24,1.0,0.5754280286927924,7,3,0.42163957149292663,24,1.0,0.40543158745116337,10.0,0.16999644124162905,1.0,Berry (except Strawberry) Farming,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming,Noncitrus Fruit and Tree Nut Farming
111335,11,"Agriculture, forestry, fishing",24,0.11787386456178883,10,4,0.07696334187746226,24,0.32937166908525584,0.11365616806932297,10,4,0.07380901126023781,24,0.3119627190680351,0.10024293041465526,10.0,0.013413237654667703,0.08405986080810082,Tree Nut Farming,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming,Noncitrus Fruit and Tree Nut Farming
111336,11,"Agriculture, forestry, fishing",24,0.16138627446856504,9,3,0.06850083432814448,24,0.4509571887438912,0.16617410528620374,9,3,0.07192165985546517,24,0.456113615339934,0.19080791499130498,10.0,0.0,0.0,Fruit and Tree Nut Combination Farming,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming,Noncitrus Fruit and Tree Nut Farming
111339,11,"Agriculture, forestry, fishing",24,0.5343551434524751,7,3,0.33013619185445703,24,1.0,0.533078262823703,7,3,0.3302618291847759,24,1.0,0.2659971441568327,10.0,0.2670811186668703,1.0,Other Noncitrus Fruit Farming,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming,Noncitrus Fruit and Tree Nut Farming
111411,11,"Agriculture, forestry, fishing",24,0.00923007992115576,6,2,0.0056505531098769435,24,0.025791356215590616,0.012822563517104483,1,1,0.005230994424613781,23,0.035195289865646885,0.021734768190900828,10.0,0.0,0.0,Mushroom Production,"Agriculture, Forestry, Fishing and Hunting",Crop Production,"Greenhouse, Nursery, and Floriculture Production",Food Crops Grown Under Cover
111419,11,"Agriculture, forestry, fishing",24,0.09367061865938978,10,4,0.030221132135836003,24,0.261741210630445,0.08199034320113995,10,4,0.027066801518611548,24,0.22504656664782247,0.07225500640878267,10.0,0.009735336792357274,0.0610107027665133,Other Food Crops Grown Under Cover,"Agriculture, Forestry, Fishing and Hunting",Crop Production,"Greenhouse, Nursery, and Floriculture Production",Food Crops Grown Under Cover
111421,11,"Agriculture, forestry, fishing",24,0.10952631454167108,4,2,0.05005722028860205,24,0.3060463416844765,0.10455098322051526,4,2,0.05360783380847161,24,0.28697086626055157,0.09388210107946854,10.0,0.01066888214104672,0.06686116885749295,Nursery and Tree Production,"Agriculture, Forestry, Fishing and Hunting",Crop Production,"Greenhouse, Nursery, and Floriculture Production",Nursery and Floriculture Production
111422,11,"Agriculture, forestry, fishing",24,0.13189149883675688,5,2,0.0795563168670361,24,0.36854075559087984,0.12476807195482252,5,2,0.08095883482612709,24,0.3424626013799987,0.11399893972884503,10.0,0.010769132225977487,0.06748942941637062,Floriculture Production,"Agriculture, Forestry, Fishing and Hunting",Crop Production,"Greenhouse, Nursery, and Floriculture Production",Nursery and Floriculture Production
111910,11,"Agriculture, forestry, fishing",24,0.232242317485499,8,3,0.1379817083787778,24,0.6489482636952905,0.2302132924075852,8,3,0.13458567801054597,24,0.6318879642437933,0.27653749069541045,10.0,0.0,0.0,Tobacco Farming,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Other Crop Farming,Tobacco Farming
