naics_code,earnings_seasonal_amplitude,peak_quarter_earnings,peak_excess_earnings,trough_quarter_earnings,trough_excess_earnings,n_earnings_excess_obs,earnings_seasonal_index,sector_2d,sector_label,idio_earnings_seasonal_amplitude,idio_peak_quarter_earnings,idio_peak_excess_earnings,idio_trough_quarter_earnings,idio_trough_excess_earnings,idio_n_earnings_excess_obs,idio_earnings_seasonal_index
541310,0.5729865323559977,4,0.36140362952574884,1,-0.21158290283024894,23,1.0,54,Professional & technical services,0.45646745134983,4,0.2762086546584501,1,-0.1802587966913799,23,0.819179135285813
512132,0.5582905793265447,2,0.3483390075472939,3,-0.20995157177925083,24,1.0,51,Information,0.616856772354418,2,0.3537295036527891,4,-0.26312726870162895,24,1.0
541110,0.629377482702424,4,0.4090269263215978,1,-0.22035055638082618,23,1.0,54,Professional & technical services,0.5128584016962563,4,0.3238319514542991,1,-0.18902645024195713,23,0.9203786617934063
711130,0.7138560334203481,4,0.4386190677997121,1,-0.27523696562063593,23,1.0,71,"Arts, entertainment & recreation",0.5973369524141803,4,0.3534240929324134,1,-0.24391285948176689,23,1.0
115111,0.6761658607191967,4,0.3560656695921013,1,-0.3201001911270955,23,1.0,11,"Agriculture, forestry, fishing",0.5596467797130289,4,0.2708706947248025,1,-0.28877608498822643,23,1.0
713920,0.6630053042946995,4,0.3724123768546376,1,-0.2905929274400619,23,1.0,71,"Arts, entertainment & recreation",0.5714584289588035,4,0.2872174019873388,2,-0.2842410269714647,23,1.0
523150,0.565569542717684,1,0.3688956788364516,2,-0.19667386388123245,23,1.0,52,Finance & insurance,0.5915031527510579,1,0.4002197849753206,2,-0.19128336777573726,23,1.0
212230,0.581191258772043,1,0.38416712961375765,2,-0.19702412915828535,23,1.0,21,"Mining, quarrying, oil & gas",0.6168659278068171,1,0.4154912357526267,4,-0.20137469205419045,23,1.0
525910,0.5543442979479427,1,0.31409743762136927,2,-0.2402468603265735,23,1.0,52,Finance & insurance,0.5802779079813166,1,0.3454215437602383,2,-0.2348563642210783,23,1.0
711510,0.713544717227858,4,0.46260617768281104,1,-0.2509385395450469,23,1.0,71,"Arts, entertainment & recreation",0.5970256362216901,4,0.3774112028155123,1,-0.21961443340617787,23,1.0
551111,0.6716772867836109,1,0.41474969456391636,2,-0.2569275922196946,23,1.0,55,Management of companies,0.6976108968169847,1,0.4460738007027854,2,-0.2515370961141994,23,1.0
111310,0.5509961404936549,4,0.3579233815706786,1,-0.1930727589229763,23,0.9945007454609099,11,"Agriculture, forestry, fishing",0.43447705948748705,4,0.27272840670337983,1,-0.16174865278410722,23,0.7797150505255075
485410,0.5401275989085506,4,0.24474971831306902,3,-0.2953778805954816,23,0.9748839606704117,48,Transportation,0.4207654108298529,2,0.1735253856784271,3,-0.24724002515142582,24,0.7551080463295056
