sector_label,seasonal_index_full,peak_excess_full,peak_quarter_full,n_industries_full,seasonal_index_exag,peak_excess_exag,peak_quarter_exag,n_industries_exag,rank_full,rank_exag,rank_delta
"Arts, entertainment & recreation",0.4606962196582989,0.14320581118904874,3.0,24,0.5509245063069044,0.14320581118904874,3.0,24.0,2.0,1.0,1.0
Accommodation & food services,0.34499383308479137,0.10255745564214827,3.0,14,0.3950337774537781,0.10255745564214827,3.0,14.0,3.0,2.0,1.0
Educational services,0.2721185095223142,0.08394035519438467,2.0,17,0.3316606640934469,0.08394035519438467,2.0,17.0,4.0,3.0,1.0
Construction,0.19323107939863865,0.05878229297359818,4.0,31,0.23600429405508136,0.05878229297359818,4.0,31.0,5.0,4.0,1.0
Real estate,0.16596685953516838,0.05561553879920255,4.0,24,0.19348168193303525,0.05561553879920255,4.0,24.0,6.0,5.0,1.0
Warehousing & couriers,0.13461685960382427,0.04585568698374533,4.0,7,0.16441535708223334,0.04585568698374533,4.0,7.0,7.0,6.0,1.0
Other services,0.1335800697015208,0.04173492343419958,3.0,44,0.16314906560501302,0.04173492343419958,3.0,44.0,8.0,7.0,1.0
Professional & technical services,0.1287438348777458,0.039804335913817,4.0,47,0.15724229227940864,0.039804335913817,4.0,47.0,9.0,8.0,1.0
Retail trade - specialty,0.1258426559294307,0.03759943644743251,3.0,29,0.1536989146211385,0.03759943644743251,3.0,29.0,10.0,9.0,1.0
Retail trade - general,0.11760626678700258,0.03187696299148922,3.0,28,0.14363933615596025,0.03187696299148922,3.0,28.0,12.0,10.0,2.0
Public administration,0.11723796212015404,0.037680576973124436,3.0,28,0.14318950436302466,0.037680576973124436,3.0,28.0,13.0,11.0,2.0
Administrative & waste services,0.11545731301673494,0.03185521799151596,4.0,44,0.14101469461751115,0.03185521799151596,4.0,44.0,14.0,12.0,2.0
Information,0.11932844991258071,0.03857608885070946,4.0,28,0.13783710082268846,0.03857608885070946,4.0,28.0,11.0,13.0,-2.0
Manufacturing - food/textiles,0.10961218037509476,0.03474312070978578,3.0,69,0.1316465741808772,0.03474312070978578,3.0,69.0,15.0,14.0,1.0
Transportation,0.10660540065116937,0.032933728313058325,4.0,50,0.1300885663508511,0.032933728313058325,4.0,50.0,16.0,15.0,1.0
Finance & insurance,0.10123524774398358,0.03289591059387046,4.0,35,0.11894331173294947,0.03289591059387046,4.0,35.0,17.0,16.0,1.0
"Mining, quarrying, oil & gas",0.08774475973882088,0.026858587543629173,4.0,21,0.10716775036210373,0.026858587543629173,4.0,21.0,18.0,17.0,1.0
Health care & social assistance,0.06647273486699437,0.02165257938068429,3.0,39,0.0811869959792095,0.02165257938068429,3.0,39.0,19.0,18.0,1.0
Wholesale trade,0.06298330570532953,0.018094635698576413,4.0,69,0.07692515431007,0.018094635698576413,4.0,69.0,20.0,19.0,1.0
Management of companies,0.06131424110411127,0.021086090281832864,4.0,3,0.07488662917131521,0.021086090281832864,4.0,3.0,21.0,20.0,1.0
Utilities,0.04873471709916719,0.014160058140595523,3.0,14,0.059522528884885344,0.014160058140595523,3.0,14.0,22.0,21.0,1.0
Manufacturing - paper/chemicals,0.04603456160993288,0.014067114158227194,3.0,96,0.05622467280469942,0.014067114158227194,3.0,96.0,23.0,22.0,1.0
Manufacturing - metals/machinery,0.03592722652107277,0.01140465416325844,3.0,181,0.043879999836726594,0.01140465416325844,3.0,181.0,24.0,23.0,1.0
"Agriculture, forestry, fishing",0.5037182392584285,0.15710496452135053,4.0,55,,,,,1.0,,
