state_name,mean_peak_excess_full,mean_peak_excess_exag,rank_full,rank_exag,rank_delta
Alaska,0.0958034969138205,0.0945457215383978,1.0,1.0,0.0
Wyoming,0.08305303560432314,0.0781849173089341,2.0,2.0,0.0
South Dakota,0.07435020183937004,0.0691733778550399,3.0,3.0,0.0
Vermont,0.071164376538396,0.06893171936524257,5.0,4.0,1.0
Maine,0.0694047997120863,0.06758840971945848,7.0,5.0,2.0
Montana,0.07258536658763277,0.06716072056955506,4.0,6.0,-2.0
North Dakota,0.0697862454299348,0.0653976207818994,6.0,7.0,-1.0
Idaho,0.06492163429898777,0.05828758929887152,8.0,8.0,0.0
Minnesota,0.06159342788397135,0.056753157444548064,9.0,9.0,0.0
Rhode Island,0.0585499786967926,0.056168774430649895,10.0,10.0,0.0
Delaware,0.056317336123477245,0.05485303241432913,13.0,11.0,2.0
Iowa,0.05647545288471136,0.05311077649704608,12.0,12.0,0.0
New Hampshire,0.053208847580957126,0.05229549239978805,15.0,13.0,2.0
DC,0.05229136182845755,0.05229136182845755,17.0,14.0,3.0
Michigan,0.05795636087856549,0.050643401039556946,11.0,15.0,-4.0
Wisconsin,0.05442215972065335,0.05024334226953847,14.0,16.0,-2.0
West Virginia,0.05159671045199144,0.05016565987142152,21.0,17.0,4.0
New Mexico,0.05231975914291761,0.04988343597568657,16.0,18.0,-2.0
Connecticut,0.051974435382050314,0.04971686662787049,20.0,19.0,1.0
Nebraska,0.05212108426770573,0.04792654262739608,19.0,20.0,-1.0
Massachusetts,0.05077933059136402,0.04748783475425311,23.0,21.0,2.0
Utah,0.04949930591493426,0.0468637046560295,26.0,22.0,4.0
New York,0.05154902229154522,0.046808752495022025,22.0,23.0,-1.0
Maryland,0.04944437320189919,0.0465286028464152,27.0,24.0,3.0
Illinois,0.04973173509146507,0.0464783688225517,25.0,25.0,0.0
Oregon,0.052131031367905374,0.045335120633729374,18.0,26.0,-8.0
New Jersey,0.04812436244847874,0.045139953451952125,29.0,27.0,2.0
Mississippi,0.04978737501835324,0.04498705617249451,24.0,28.0,-4.0
Washington,0.048044290916878965,0.04498246904043813,30.0,29.0,1.0
Colorado,0.04821831083544864,0.044938332978452254,28.0,30.0,-2.0
Kansas,0.046849663386555745,0.04445450401910243,33.0,31.0,2.0
Indiana,0.04701034703842335,0.044162651939257364,31.0,32.0,-1.0
Arkansas,0.04697516233066746,0.043119897477087235,32.0,33.0,-1.0
Oklahoma,0.04533402424326559,0.04233977144454296,35.0,34.0,1.0
Louisiana,0.04595882181395629,0.04230464809307361,34.0,35.0,-1.0
Missouri,0.04486420288583485,0.041634805981562675,36.0,36.0,0.0
Kentucky,0.04326572277368026,0.041482562726545325,38.0,37.0,1.0
Ohio,0.04481252760859497,0.04127907623365182,37.0,38.0,-1.0
Nevada,0.04180208017618778,0.04024688416570174,42.0,39.0,3.0
North Carolina,0.043264390387937536,0.03970624054256855,39.0,40.0,-1.0
Pennsylvania,0.04275694592474471,0.038734413331302404,40.0,41.0,-1.0
Arizona,0.04157774302630456,0.038526156424463526,43.0,42.0,1.0
South Carolina,0.039453141721582936,0.037977167006111444,45.0,43.0,2.0
Virginia,0.041884373184568856,0.03772981389769215,41.0,44.0,-3.0
Alabama,0.04127773580273363,0.037689352671743094,44.0,45.0,-1.0
Georgia,0.03866627465627162,0.034456530057435986,47.0,46.0,1.0
Tennessee,0.0368061989133785,0.03406142400374736,48.0,47.0,1.0
Hawaii,0.03480330883728492,0.03401498860727101,49.0,48.0,1.0
California,0.03913471170819024,0.031398950471991025,46.0,49.0,-3.0
Florida,0.034754734333414014,0.031040594851915616,50.0,50.0,0.0
Texas,0.0342805968663656,0.029919451113863255,51.0,51.0,0.0
