naics_code,sector_2d,sector_label,n_states,n_state_industry_slots,mean_seasonal_index,mean_peak_excess,median_peak_excess,in_national_top_percentile,in_national_bottom_percentile,share_states
524126,52,Finance,8,8,0.0090565325328894,0.003067240393064275,0.0028800175181205503,False,False,0.1568627450980392
449210,44,Retail-gen,6,6,0.013725342196646284,0.004218388801560267,0.0038721694134989,False,False,0.11764705882352941
423610,42,Wholesale,5,5,0.0104811920488024,0.00325653405133102,0.0025108459897564,False,False,0.09803921568627451
524114,52,Finance,5,5,0.010116174602285841,0.00339711840266584,0.0032410059654354,False,False,0.09803921568627451
517111,51,Information,5,5,0.0083268484824038,0.0030323474678234596,0.0036308222585443,False,False,0.09803921568627451
423840,42,Wholesale,4,4,0.01420232742589315,0.003849971644921825,0.0035061836190148996,False,False,0.0784313725490196
622110,62,Healthcare,4,4,0.0125671055498972,0.00455686282557905,0.00449377552808105,False,False,0.0784313725490196
926150,92,Public admin,4,4,0.0118489056305766,0.003259661512435575,0.0038776383175467503,False,False,0.0784313725490196
423830,42,Wholesale,4,4,0.010486427216149275,0.0029608507114532003,0.0032719339746686,False,False,0.0784313725490196
325412,32,Mfg-chem,4,4,0.010218929736029624,0.0034947696846012004,0.00359457971833635,False,False,0.0784313725490196
524292,52,Finance,4,4,0.010011487739284824,0.0026739457119196253,0.0022239976002331,False,False,0.0784313725490196
325910,32,Mfg-chem,4,4,0.00901212911912605,0.002933629403985575,0.0024951370712098,False,False,0.0784313725490196
339113,33,Mfg-metals,4,4,0.008936807986125901,0.002527444528176425,0.00297634958618975,False,False,0.0784313725490196
221122,22,Utilities,3,3,0.017917474842018565,0.0056782303671048,0.005510575900185,False,False,0.058823529411764705
522130,52,Finance,3,3,0.014695883787305367,0.005441899878155367,0.0036964294831506,False,False,0.058823529411764705
334511,33,Mfg-metals,3,3,0.012529546013074168,0.0044981394836184335,0.0047790176503366,False,False,0.058823529411764705
311920,31,Mfg-food,3,3,0.011834690188024735,0.0030478090803418,0.0024382072917471,False,False,0.058823529411764705
334510,33,Mfg-metals,3,3,0.011792683320653669,0.003271326853043733,0.0030335360442252,False,False,0.058823529411764705
336310,33,Mfg-metals,3,3,0.011636942551659568,0.0044826472429394665,0.0043790402513193,False,False,0.058823529411764705
485113,48,Transportation,3,3,0.011584012710574333,0.0029935264363956664,0.0031001509520763,False,False,0.058823529411764705
922140,92,Public admin,3,3,0.011014079366241533,0.003777003373526433,0.0039664104807228,False,False,0.058823529411764705
333514,33,Mfg-metals,3,3,0.010692109861430732,0.0036600281121166333,0.0039375359591173,False,False,0.058823529411764705
423420,42,Wholesale,3,3,0.010639208944360198,0.0040128862283329006,0.004124105144693,False,False,0.058823529411764705
333924,33,Mfg-metals,3,3,0.0106315890882377,0.002815533547408967,0.0038023855400078,False,False,0.058823529411764705
323111,32,Mfg-chem,3,3,0.010207525711442367,0.003124733200093333,0.0033964241505838,False,False,0.058823529411764705
523150,52,Finance,3,3,0.0099076121989616,0.0032254780222152335,0.0033206052981478,False,False,0.058823529411764705
333517,33,Mfg-metals,3,3,0.009904313836594401,0.0031213696066620666,0.003152130453644,False,False,0.058823529411764705
334513,33,Mfg-metals,3,3,0.009869537154604533,0.002146348782098567,0.0020756992302374,False,False,0.058823529411764705
424110,42,Wholesale,3,3,0.009656863885804633,0.0034096421966148,0.0029866158803663,False,False,0.058823529411764705
333511,33,Mfg-metals,3,3,0.0091091285839927,0.0029246846422177,0.0025270443206127,False,False,0.058823529411764705
424820,42,Wholesale,3,3,0.0090945878175855,0.002880257085027567,0.0022929130397291,False,False,0.058823529411764705
335313,33,Mfg-metals,3,3,0.008997562383378066,0.003586324567619,0.0042210763237309,False,False,0.058823529411764705
335910,33,Mfg-metals,3,3,0.008852469607614067,0.002961276409842667,0.002778283592935,False,False,0.058823529411764705
326299,32,Mfg-chem,3,3,0.008785087377811833,0.002341747956925067,0.0022083412597594,False,False,0.058823529411764705
333993,33,Mfg-metals,3,3,0.008572679529454834,0.0026242127894954667,0.0025552471086743,False,False,0.058823529411764705
339112,33,Mfg-metals,3,3,0.008155066677764966,0.0022327407445470004,0.0026286746034358,False,False,0.058823529411764705
322230,32,Mfg-chem,3,3,0.0080770944510188,0.001216699825437,0.0008053263753046,False,False,0.058823529411764705
516120,51,Information,3,3,0.007729771305489433,0.002500788584414533,0.0025181733995676,False,False,0.058823529411764705
221210,22,Utilities,3,3,0.007065250022603667,0.002204692348405,0.0020306814914672,False,False,0.058823529411764705
485111,48,Transportation,3,3,0.006850633663045967,0.0010317208838900667,0.0012124291499774,False,False,0.058823529411764705
334515,33,Mfg-metals,3,3,0.0068293346157778665,0.0008557401575532,0.0014923275658567,False,False,0.058823529411764705
517121,51,Information,2,2,0.01950693739404745,0.0059135372164155,0.0059135372164155,False,False,0.0392156862745098
311119,31,Mfg-food,2,2,0.014496188587364501,0.0052813297390789,0.0052813297390789,False,False,0.0392156862745098
423730,42,Wholesale,2,2,0.01382046298138185,0.0037588274740314,0.0037588274740314,False,False,0.0392156862745098
423490,42,Wholesale,2,2,0.013376777934397899,0.00336455376477705,0.00336455376477705,False,False,0.0392156862745098
333248,33,Mfg-metals,2,2,0.0133682399157894,0.005245656316610401,0.005245656316610401,False,False,0.0392156862745098
923130,92,Public admin,2,2,0.013221814127219098,0.00486005485686995,0.00486005485686995,False,False,0.0392156862745098
339910,33,Mfg-metals,2,2,0.0131385503864286,0.0036907429659172,0.0036907429659172,False,False,0.0392156862745098
522299,52,Finance,2,2,0.01270906550553385,0.002764273912615,0.002764273912615,False,False,0.0392156862745098
541713,54,Prof services,2,2,0.012474062613852501,0.004881224798316999,0.004881224798316999,False,False,0.0392156862745098
336120,33,Mfg-metals,2,2,0.0122223946338437,0.00559446273591575,0.00559446273591575,False,False,0.0392156862745098
611420,61,Education,2,2,0.012062589853683699,0.000996016538166,0.000996016538166,False,False,0.0392156862745098
424710,42,Wholesale,2,2,0.0118322085015057,0.0048478344872331,0.0048478344872331,False,False,0.0392156862745098
336320,33,Mfg-metals,2,2,0.011794976071203049,0.0042365846629794,0.0042365846629794,False,False,0.0392156862745098
334512,33,Mfg-metals,2,2,0.011729578838025851,0.00473252958211945,0.00473252958211945,False,False,0.0392156862745098
621512,62,Healthcare,2,2,0.0115874257055591,0.0038419510967516004,0.0038419510967516004,False,False,0.0392156862745098
922130,92,Public admin,2,2,0.0114978864377992,0.0037985058507013503,0.0037985058507013503,False,False,0.0392156862745098
333415,33,Mfg-metals,2,2,0.01125656671681975,0.00525624738974685,0.00525624738974685,False,False,0.0392156862745098
333241,33,Mfg-metals,2,2,0.011227523805693501,0.00250652645594785,0.00250652645594785,False,False,0.0392156862745098
423930,42,Wholesale,2,2,0.011056136676202099,0.00391778104277595,0.00391778104277595,False,False,0.0392156862745098
333519,33,Mfg-metals,2,2,0.01092541460801635,0.0030180508056919,0.0030180508056919,False,False,0.0392156862745098
331315,33,Mfg-metals,2,2,0.01084655559510585,0.0038030937818312,0.0038030937818312,False,False,0.0392156862745098
424480,42,Wholesale,2,2,0.01052104731068205,0.0030656083052668,0.0030656083052668,False,False,0.0392156862745098
327215,32,Mfg-chem,2,2,0.0105079347268088,0.0034149759825107,0.0034149759825107,False,False,0.0392156862745098
423310,42,Wholesale,2,2,0.0105049004885998,0.00384535860643015,0.00384535860643015,False,False,0.0392156862745098
333414,33,Mfg-metals,2,2,0.0104909784371449,0.00224610550218285,0.00224610550218285,False,False,0.0392156862745098
332911,33,Mfg-metals,2,2,0.01018365798413905,0.00257013460267095,0.00257013460267095,False,False,0.0392156862745098
336390,33,Mfg-metals,2,2,0.00989929811074805,0.002431788430466,0.002431788430466,False,False,0.0392156862745098
484230,48,Transportation,2,2,0.0096927136549044,0.0035166048435506,0.0035166048435506,False,False,0.0392156862745098
486210,48,Transportation,2,2,0.0096886367625583,0.00364713225218365,0.00364713225218365,False,False,0.0392156862745098
333120,33,Mfg-metals,2,2,0.0096745174932389,0.0031499556909742998,0.0031499556909742998,False,False,0.0392156862745098
326220,32,Mfg-chem,2,2,0.0096653706918607,0.00293380466900265,0.00293380466900265,False,False,0.0392156862745098
311613,31,Mfg-food,2,2,0.0096282680701721,0.00282650244815765,0.00282650244815765,False,False,0.0392156862745098
424720,42,Wholesale,2,2,0.0095340654570589,0.0027298258182982997,0.0027298258182982997,False,False,0.0392156862745098
334416,33,Mfg-metals,2,2,0.009459800414011451,0.00349261030213835,0.00349261030213835,False,False,0.0392156862745098
457210,45,Retail-spec,2,2,0.00943147367921435,0.0026284336236136003,0.0026284336236136003,False,False,0.0392156862745098
621493,62,Healthcare,2,2,0.00924495827553185,0.0032984290138437502,0.0032984290138437502,False,False,0.0392156862745098
322220,32,Mfg-chem,2,2,0.0091998133065679,0.00266709327164085,0.00266709327164085,False,False,0.0392156862745098
325998,32,Mfg-chem,2,2,0.0090833876345328,0.0026312657004315,0.0026312657004315,False,False,0.0392156862745098
481111,48,Transportation,2,2,0.008993579233518949,0.0029590689910858,0.0029590689910858,False,False,0.0392156862745098
325130,32,Mfg-chem,2,2,0.00892175770046505,0.0024148306747641003,0.0024148306747641003,False,False,0.0392156862745098
486910,48,Transportation,2,2,0.00883599200415395,0.00385975947833795,0.00385975947833795,False,False,0.0392156862745098
423860,42,Wholesale,2,2,0.0087735778973931,0.0026748757897688,0.0026748757897688,False,False,0.0392156862745098
561599,56,Admin/waste,2,2,0.00863223507470125,0.00270477365462925,0.00270477365462925,False,False,0.0392156862745098
