sector_2d,sector_label,n_state_industry_slots,n_states,n_unique_naics,mean_seasonal_index,mean_peak_excess,n_national_top_percentile,n_national_bottom_percentile,share_states
33,Mfg-metals,131,42,81,0.00961819442987737,0.002947438034748391,0,4,0.8235294117647058
42,Wholesale,54,35,29,0.01121836444658156,0.0035492710180730224,0,0,0.6862745098039216
32,Mfg-chem,51,31,33,0.009683686436705958,0.003068147088936149,0,3,0.6078431372549019
52,Finance,36,28,17,0.010919642304578866,0.0035229489623708862,0,0,0.5490196078431373
31,Mfg-food,24,20,19,0.009775259131282675,0.0030790796357942625,0,0,0.39215686274509803
48,Transportation,21,19,12,0.009108142669529348,0.0028794224991110667,0,0,0.37254901960784315
51,Information,18,14,10,0.00984671527713865,0.0033034228522118387,0,0,0.27450980392156865
92,Public admin,18,12,10,0.010967923944384905,0.003309244402638828,0,0,0.23529411764705882
62,Healthcare,15,10,10,0.01019754252078286,0.0037281817182449866,0,1,0.19607843137254902
22,Utilities,8,8,4,0.011439693404344425,0.0034048512651168625,0,0,0.1568627450980392
44,Retail-gen,7,7,2,0.013162579793436071,0.004101047594303029,0,0,0.13725490196078433
56,Admin/waste,6,5,5,0.01108762981059685,0.002922568654368,0,0,0.09803921568627451
81,Other services,6,5,6,0.013684822793055584,0.004847032160387866,0,0,0.09803921568627451
45,Retail-spec,5,4,4,0.01363512891339502,0.004042764799379,0,0,0.0784313725490196
61,Education,4,3,3,0.008969002305144726,0.0014280543592971248,0,0,0.058823529411764705
21,Mining,3,3,3,0.011110538876755234,0.0024378967423646,0,0,0.058823529411764705
54,Prof services,3,3,2,0.011521642515643768,0.004203231403458433,0,0,0.058823529411764705
11,Agriculture,1,1,1,0.0074143917390649,0.002077802238635,0,0,0.0196078431372549
49,Warehousing,1,1,1,0.0196588648357045,0.0073380782372905,0,0,0.0196078431372549
53,Real estate,1,1,1,0.0095912232686214,-0.0008892153620858,0,0,0.0196078431372549
