county,county_name,seasonal_exposure,matched_emp,n_industries_matched,total_emp,coverage_share,rank,n_counties,percentile
039,Madera County,0.17988188829323323,22084.0,188.0,22084,1.0,1,58,1.0
011,Colusa County,0.16934135331778966,2352.0,48.0,2352,1.0,2,58,0.9824561403508771
105,Trinity County,0.14602906869694404,779.0,34.0,779,1.0,3,58,0.9649122807017544
069,San Benito County,0.13390162544783327,8223.0,125.0,8223,1.0,4,58,0.9473684210526316
103,Tehama County,0.13201091360721925,8954.0,98.0,8954,1.0,5,58,0.9298245614035088
091,Sierra County,0.130485931513422,100.0,8.0,100,1.0,6,58,0.9122807017543859
021,Glenn County,0.12804218047509414,2714.0,61.0,2714,1.0,7,58,0.8947368421052632
055,Napa County,0.12799170214905017,53081.0,243.0,53081,1.0,8,58,0.8771929824561404
093,Siskiyou County,0.12566209092770841,4920.0,92.0,4920,1.0,9,58,0.8596491228070176
047,Merced County,0.12493448766952754,36261.0,205.0,36261,1.0,10,58,0.8421052631578947
109,Tuolumne County,0.112952547633715,7355.0,111.0,7355,1.0,11,58,0.8245614035087719
045,Mendocino County,0.11056751117717668,18709.0,187.0,18709,1.0,12,58,0.8070175438596492
031,Kings County,0.10858746689482647,18793.0,137.0,18793,1.0,13,58,0.7894736842105263
057,Nevada County,0.10619594416060753,21501.0,214.0,21501,1.0,14,58,0.7719298245614035
099,Stanislaus County,0.10606876087842963,128082.0,355.0,128082,1.0,15,58,0.7543859649122807
015,Del Norte County,0.10422252687921205,2337.0,46.0,2337,1.0,16,58,0.736842105263158
053,Monterey County,0.10382494142415397,102678.0,336.0,102678,1.0,17,58,0.7192982456140351
115,Yuba County,0.10066725429920752,7361.0,103.0,7361,1.0,18,58,0.7017543859649122
009,Calaveras County,0.10046453053212552,4914.0,90.0,4914,1.0,19,58,0.6842105263157895
087,Santa Cruz County,0.10031213857322252,68356.0,320.0,68356,1.0,20,58,0.6666666666666667
101,Sutter County,0.09977109203626515,19266.0,163.0,19266,1.0,21,58,0.6491228070175439
019,Fresno County,0.09850424967111089,262414.0,442.0,262414,1.0,22,58,0.631578947368421
107,Tulare County,0.0980850573329728,86026.0,293.0,86026,1.0,23,58,0.6140350877192983
079,San Luis Obispo County,0.0980375964016109,81991.0,344.0,81991,1.0,24,58,0.5964912280701755
035,Lassen County,0.09755262676465219,1839.0,43.0,1839,1.0,25,58,0.5789473684210527
041,Marin County,0.09731436520688957,91075.0,336.0,91075,1.0,26,58,0.5614035087719298
043,Mariposa County,0.09676523632780389,1761.0,44.0,1761,1.0,27,58,0.543859649122807
029,Kern County,0.09552966374402903,191071.0,396.0,191071,1.0,28,58,0.5263157894736843
083,Santa Barbara County,0.09547904358407508,135880.0,392.0,135880,1.0,29,58,0.5087719298245614
025,Imperial County,0.09471259833330481,23915.0,196.0,23915,1.0,30,58,0.49122807017543857
017,El Dorado County,0.09463835908437832,38128.0,258.0,38128,1.0,31,58,0.4736842105263158
097,Sonoma County,0.09420780655493095,154890.0,420.0,154890,1.0,32,58,0.45614035087719296
023,Humboldt County,0.09334486634418829,27848.0,209.0,27848,1.0,33,58,0.4385964912280702
037,Los Angeles County,0.0927443259966315,3546644.0,767.0,3546644,1.0,34,58,0.42105263157894735
027,Inyo County,0.09210918313779862,2976.0,54.0,2976,1.0,35,58,0.4035087719298246
077,San Joaquin County,0.09144670519299494,202714.0,398.0,202714,1.0,36,58,0.38596491228070173
033,Lake County,0.09134477156957993,7832.0,108.0,7832,1.0,37,58,0.368421052631579
005,Amador County,0.09104884908393092,5018.0,83.0,5018,1.0,38,58,0.3508771929824561
051,Mono County,0.08853644902561085,5786.0,48.0,5786,1.0,39,58,0.33333333333333337
075,San Francisco County,0.08835464080717408,600312.0,445.0,600312,1.0,40,58,0.3157894736842105
113,Yolo County,0.08777701053799107,60663.0,275.0,60663,1.0,41,58,0.29824561403508776
063,Plumas County,0.0876814220396879,2906.0,58.0,2906,1.0,42,58,0.2807017543859649
059,Orange County,0.08761644024242916,1444427.0,658.0,1444427,1.0,43,58,0.26315789473684215
111,Ventura County,0.0865820781621153,237978.0,482.0,237978,1.0,44,58,0.24561403508771928
089,Shasta County,0.08582883365727734,44074.0,266.0,44074,1.0,45,58,0.22807017543859653
007,Butte County,0.08430366011797082,51410.0,255.0,51410,1.0,46,58,0.21052631578947367
065,Riverside County,0.0837506778399588,601064.0,571.0,601064,1.0,47,58,0.19298245614035092
061,Placer County,0.0832543792540605,144036.0,361.0,144036,1.0,48,58,0.17543859649122806
073,San Diego County,0.0829911609556746,1254072.0,631.0,1254072,1.0,49,58,0.1578947368421053
071,San Bernardino County,0.08282241869495538,617222.0,589.0,617222,1.0,50,58,0.14035087719298245
049,Modoc County,0.08172339212488265,520.0,18.0,520,1.0,51,58,0.1228070175438597
013,Contra Costa County,0.08169651276063992,305669.0,437.0,305669,1.0,52,58,0.10526315789473684
001,Alameda County,0.08073192628520562,672434.0,557.0,672434,1.0,53,58,0.08771929824561409
095,Solano County,0.08016264917825136,102795.0,328.0,102795,1.0,54,58,0.07017543859649122
067,Sacramento County,0.07980682171986352,477092.0,481.0,477092,1.0,55,58,0.052631578947368474
085,Santa Clara County,0.07965457411179133,955344.0,505.0,955344,1.0,56,58,0.03508771929824561
081,San Mateo County,0.07778908402924269,350366.0,429.0,350366,1.0,57,58,0.01754385964912286
003,Alpine County,0.0685714757470719,81.0,3.0,81,1.0,58,58,0.0
