naics_code,sector_2d,sector_label,seasonal_index_full,peak_excess_full,peak_quarter_full,n_excess_obs_full,rank_full,seasonal_index_precovid,peak_excess_precovid,peak_quarter_precovid,n_excess_obs_precovid,rank_precovid,seasonal_index_delta,rank_delta,peak_quarter_changed
111320,11,"Agriculture, forestry, fishing",0.6231664525739046,0.1720612372494464,2.0,22.0,43.0,0.4790554336453598,0.12934953165175425,2,18,59.0,-0.14411101892854478,-16.0,False
115310,11,"Agriculture, forestry, fishing",0.447566376900956,0.1382793927272043,4.0,23.0,63.0,0.322751917422733,0.10090036238758271,4,19,91.0,-0.124814459478223,-28.0,False
114119,11,"Agriculture, forestry, fishing",0.4251173062563578,0.1387868319175987,4.0,16.0,66.0,0.3343468020956924,0.11340407362794679,4,12,87.0,-0.0907705041606654,-21.0,False
525910,52,Finance & insurance,0.1826081451353075,0.0724463056007741,3.0,24.0,173.0,0.09299588411789944,0.02766875266679858,2,20,333.0,-0.08961226101740805,-160.0,True
485111,48,Transportation,0.1045594244832932,0.0364642383162009,1.0,23.0,300.0,0.02260048872184093,0.00663981986836069,3,20,881.0,-0.08195893576145227,-581.0,True
525120,52,Finance & insurance,0.9574946790972156,0.3097355400160116,4.0,21.0,14.0,0.877565709122561,0.29474928483420143,4,18,21.0,-0.0799289699746546,-7.0,False
525110,52,Finance & insurance,0.2613935565662473,0.1055993929636241,4.0,18.0,120.0,0.19995794623321209,0.08292688227778744,4,14,164.0,-0.06143561033303521,-44.0,False
445230,44,Retail trade - general,0.5262216136265826,0.1699071955172545,4.0,23.0,57.0,0.47210053719271045,0.15575139357590528,4,19,60.0,-0.05412107643387215,-3.0,False
111130,11,"Agriculture, forestry, fishing",0.6390638126174265,0.2165473026899831,4.0,12.0,41.0,0.5878023674503828,0.20422769469141402,4,8,45.0,-0.05126144516704367,-4.0,False
923130,92,Public administration,0.1138297860802254,0.040718810501172,3.0,24.0,287.0,0.06754321550844254,0.02565445410727978,3,20,443.0,-0.046286570571782856,-156.0,False
