sector_label,mean_divergence,n,pearson_r,spearman_r,peak_concordance_rate,n_peak_compared
Manufacturing - metals/machinery,-0.0024542675949716475,181,0.2496778596729575,0.18363386153441402,0.11602209944751381,181
Manufacturing - paper/chemicals,0.004679912985076077,96,0.8514724970876758,0.4645008138903961,0.15625,96
Manufacturing - food/textiles,0.014159800273405807,69,0.8815676824380323,0.5141030325173548,0.08695652173913043,69
Wholesale trade,0.024827949685062682,69,0.8329786437929912,0.634088417975886,0.17391304347826086,69
"Agriculture, forestry, fishing",0.24684479771030207,55,0.6421348015446289,0.7521505877734548,0.10909090909090909,55
Transportation,0.0037254470878982527,50,0.8104537831693868,0.7171668667466987,0.18,50
Professional & technical services,0.0689556402318828,47,0.619053761868303,0.5211609620721555,0.14893617021276595,47
Other services,0.043096881896003365,44,0.42652397907645884,0.5766032417195208,0.22727272727272727,44
Administrative & waste services,0.046668787736515525,44,0.8243811099040248,0.721353065539112,0.18181818181818182,44
Health care & social assistance,0.027619560873035177,39,0.12798415431089044,0.08097165991902834,0.3076923076923077,39
Finance & insurance,0.044554131294159076,35,0.25669592277287673,0.6680672268907563,0.2,35
Construction,0.0875175556409443,31,0.9664972153950011,0.9604838709677419,0.06451612903225806,31
Retail trade - specialty,-0.008265232813624039,29,0.5677449167088386,0.670935960591133,0.3103448275862069,29
Public administration,0.04421248217398672,28,0.6685061350968144,0.7301587301587301,0.17857142857142858,28
Retail trade - general,0.01173079763636597,28,0.7345725672729113,0.8007662835249042,0.25,28
Information,0.02801583358071799,28,0.930757332787898,0.2889983579638752,0.03571428571428571,28
"Arts, entertainment & recreation",0.148442307429177,24,0.768934083497258,0.8069565217391305,0.0,24
Real estate,0.051809788046123434,24,0.9208254218967025,0.8156521739130435,0.041666666666666664,24
"Mining, quarrying, oil & gas",0.021933155397276388,21,0.9347754851663401,0.7987012987012987,0.0,21
Educational services,0.15179615527043488,17,0.8808498731965687,0.9117647058823529,0.058823529411764705,17
Utilities,-0.007610035221642184,14,0.5178297970089578,0.4021978021978022,0.14285714285714285,14
Accommodation & food services,0.07708544892571177,14,0.9339553216606127,0.8681318681318682,0.07142857142857142,14
Warehousing & couriers,-0.007880308111076687,7,0.6678876668654243,0.6785714285714286,0.7142857142857143,7
Management of companies,0.033539583934504576,3,0.8644442281272413,1.0,0.0,3
