state_name,mean_divergence,n,pearson_r,spearman_r,peak_concordance_rate,n_peak_compared
California,0.05003175413382422,995,0.5827494876962342,0.5480529588280979,0.14271356783919598,995
Texas,0.040706335602548625,986,0.5348530876379953,0.5831407068028206,0.18559837728194725,986
Florida,0.04057235341176545,968,0.42581608002906973,0.5139194944642068,0.17355371900826447,968
Pennsylvania,0.04317827803518347,952,0.5376573594984196,0.6052458585402191,0.10819327731092437,952
New York,0.060791509159706325,943,0.48746199606148266,0.5399572154865894,0.10922587486744433,943
Ohio,0.04083700900646993,941,0.5107276305823082,0.6002928538771316,0.11689691817215728,941
Illinois,0.052495991778081744,938,0.6405962564144477,0.6195410551893948,0.10554371002132196,938
Georgia,0.04258181713932433,935,0.6524296009901357,0.5446715989341531,0.16684491978609625,935
Michigan,0.054315359571634865,928,0.5313047906453803,0.6243521112373183,0.13038793103448276,928
North Carolina,0.05029130636114883,928,0.518764627486086,0.5477654231399788,0.17025862068965517,928
Virginia,0.04338321072461908,907,0.5393265793985962,0.579522797773229,0.13671444321940462,907
New Jersey,0.04399866925600175,904,0.5120146252881678,0.56901338686443,0.125,904
Tennessee,0.03825979206572008,902,0.6291214872970203,0.6249971578732351,0.15631929046563192,902
Washington,0.056805533596296226,895,0.5905641153710598,0.6165665326139371,0.15865921787709497,895
Wisconsin,0.051294614045121874,890,0.5034914402521744,0.6223035504647517,0.10337078651685393,890
Missouri,0.0479300899806039,889,0.5986777592463458,0.6036950783301063,0.11136107986501688,889
South Carolina,0.0370942290105681,888,0.574974068498091,0.6114796368650331,0.15878378378378377,888
Indiana,0.05206628602797847,885,0.5127922959190869,0.6327032457384988,0.12429378531073447,885
Minnesota,0.056088311686631684,883,0.5127860299376242,0.5652539676416514,0.09739524348810873,883
Arizona,0.03975700378413557,864,0.512853833623896,0.5162994977126802,0.17939814814814814,864
Alabama,0.046550415222294174,863,0.5425510382824913,0.5446821843587117,0.14600231749710313,863
Oregon,0.06394887512487075,856,0.5448539379233966,0.6163243646699735,0.15537383177570094,856
Colorado,0.047193893699567314,854,0.5002503346556372,0.5416317791306006,0.1323185011709602,854
Kentucky,0.04504465548586072,845,0.5440934216664657,0.5284622366515215,0.15976331360946747,845
Maryland,0.05385224140123029,842,0.6258784788517056,0.5544396495930105,0.14370546318289787,842
Oklahoma,0.05039750239519176,828,0.6212895709014399,0.5629708659514315,0.13043478260869565,828
Utah,0.05051221919739405,825,0.5991281203090836,0.5888198453701917,0.16363636363636364,825
Louisiana,0.05389478710109569,822,0.45955198623284566,0.5545785320262416,0.13138686131386862,822
Massachusetts,0.051891873987278556,818,0.5099469719537595,0.5762737809325605,0.11246943765281174,818
Arkansas,0.050503301183246474,812,0.5609148841327228,0.6217108597398349,0.15270935960591134,812
Kansas,0.04776593293997842,805,0.5617142141226799,0.5693574330703756,0.12049689440993788,805
Iowa,0.05808158976535104,794,0.49262623276359574,0.5824319166923168,0.11460957178841309,794
Connecticut,0.0532121478876329,793,0.5503087940425232,0.5766437726123683,0.11349306431273644,793
Nevada,0.04865639380255193,737,0.4400077627258504,0.4902225388074457,0.19674355495251017,737
Idaho,0.060784025583720785,734,0.48291639961231725,0.5383727028140788,0.13487738419618528,734
Mississippi,0.05735621850536971,726,0.5208800144121931,0.5661426909834932,0.1584022038567493,726
Nebraska,0.053230084730317685,712,0.6230949605929653,0.6147709045235125,0.10955056179775281,712
New Mexico,0.049346607255699886,699,0.5642765743134094,0.5732569387570859,0.15736766809728184,699
New Hampshire,0.0397188812358622,674,0.40045150231904525,0.5695764961051958,0.13353115727002968,674
Maine,0.050994931478650134,645,0.38478789614040365,0.5572494986345401,0.12248062015503876,645
West Virginia,0.0490231584014642,639,0.4410693597064033,0.5857895137158537,0.13302034428794993,639
Rhode Island,0.05554999138307839,639,0.503355157026288,0.5762339183051102,0.12832550860719874,639
Montana,0.08669113608108725,635,0.5289470822979178,0.576768330730757,0.13070866141732285,635
Vermont,0.07086790841056179,595,0.5275999665413942,0.5653171636463771,0.12773109243697478,595
South Dakota,0.07574183478905981,589,0.48864474934990093,0.6133478003497482,0.12054329371816638,589
Hawaii,0.044084822543237034,579,0.44474097491313513,0.44375282017907347,0.11398963730569948,579
North Dakota,0.061891012962424864,553,0.45498948704226866,0.4940026582376787,0.12477396021699819,553
Delaware,0.04301217005410207,541,0.43310315158119983,0.5116438361509319,0.12384473197781885,541
Wyoming,0.08449799634879897,515,0.5183341945130793,0.627517364743567,0.1145631067961165,515
Alaska,0.05823572446317799,473,0.2538923648168261,0.3711122396715608,0.11627906976744186,473
DC,0.06283704702695748,376,0.49402859330979876,0.469720016585544,0.18085106382978725,376
