naics_code,sector_2d,sector_label,n_years,monthly_seasonal_amplitude,peak_month,peak_quarter_from_month,peak_excess_month,n_excess_obs_month,monthly_seasonal_index,placebo_amplitude,n_perms_used,signal_amplitude,signal_index,national_industry_title,seasonal_index_emp,peak_quarter_emp,peak_excess_emp,n_emp_excess_obs,peak_quarter_concordant
713920,71,"Arts, entertainment & recreation",24,0.5943221763017748,3,1,0.31592352025542364,24,1.0,0.7026614097171922,10.0,0.0,0.0,Skiing Facilities,1.0,4.0,0.8426354093671323,23.0,False
111211,11,"Agriculture, forestry, fishing",24,0.5199531409288527,10,4,0.3189054836935495,24,1.0,0.19792665383893399,10.0,0.3220264870899187,1.0,Potato Farming,1.0,3.0,0.4531955938416188,24.0,False
721214,72,Accommodation & food services,24,0.9280378442754773,7,3,0.50441857360841,24,1.0,0.5654180599758863,10.0,0.36261978429959096,1.0,Recreational and Vacation Camps (except Campgrounds),1.0,2.0,0.8120327418286677,24.0,False
115112,11,"Agriculture, forestry, fishing",24,0.5049588454796128,7,3,0.3123349580423052,24,1.0,0.17229194455462576,10.0,0.332666900924987,1.0,"Soil Preparation, Planting, and Cultivating",0.3320506395553867,2.0,0.1125870317445068,24.0,False
111339,11,"Agriculture, forestry, fishing",24,0.5343551434524751,7,3,0.33013619185445703,24,1.0,0.26635259569114245,10.0,0.2680025477613327,1.0,Other Noncitrus Fruit Farming,1.0,2.0,0.4060774010048428,24.0,False
111991,11,"Agriculture, forestry, fishing",24,0.8830882544158991,10,4,0.6020818352121076,24,1.0,0.29436082951653664,10.0,0.5887274248993625,1.0,Sugar Beet Farming,0.8678321570772506,3.0,0.3151490218663624,24.0,False
111334,11,"Agriculture, forestry, fishing",24,0.5767049093215645,7,3,0.42151393416260774,24,1.0,0.40593358292300713,10.0,0.17077132639855735,0.9940110341905253,Berry (except Strawberry) Farming,1.0,2.0,0.7564061872122098,24.0,False
115111,11,"Agriculture, forestry, fishing",24,0.4161446347701674,10,4,0.23387973044176857,24,1.0,0.3500400161050839,10.0,0.06610461866508349,0.3847760730668251,Cotton Ginning,0.8229520260509033,4.0,0.2703611173934716,23.0,True
111331,11,"Agriculture, forestry, fishing",24,0.6320013989137331,10,4,0.38257245166685366,24,1.0,0.2953902410084609,10.0,0.3366111579052722,1.0,Apple Orchards,1.0,3.0,0.6121814469990566,24.0,False
114119,11,"Agriculture, forestry, fishing",24,0.6301917177819356,10,4,0.3190098652023346,24,1.0,0.23164915565486588,10.0,0.39854256212706973,1.0,Other Marine Fishing,0.6540078590863809,4.0,0.218826529761486,23.0,True
541213,54,Professional & technical services,24,0.9421767189979011,4,2,0.47647931527159204,24,1.0,0.5120996594380317,10.0,0.4300770595598694,1.0,Tax Preparation Services,1.0,1.0,0.8422859420308191,23.0,False
111150,11,"Agriculture, forestry, fishing",24,0.3676613842962611,7,3,0.24224888412251208,24,1.0,0.14015204365113038,10.0,0.22750934064513073,1.0,Corn Farming,0.4064488390364963,3.0,0.1566762697478614,24.0,True
485410,48,Transportation,24,0.3538776524528937,9,3,0.1767504573071137,24,0.9888305051649765,0.1497596696068885,10.0,0.2041179828460052,1.0,School and Employee Bus Transportation,0.1145850968231995,1.0,0.0230354914401397,23.0,False
711120,71,"Arts, entertainment & recreation",24,0.31030086916841926,12,4,0.1541411088604341,23,0.8670651087632144,0.13598159202436125,10.0,0.174319277144058,1.0,Dance Companies,0.3415553367410949,4.0,0.1204317062494033,23.0,True
445292,44,Retail trade - general,24,0.2870192167750885,12,4,0.16697445232222258,23,0.8020098334792316,0.08246266902466927,10.0,0.20455654775041926,1.0,Confectionery and Nut Retailers,0.2920641244149262,4.0,0.1250871627319409,23.0,True
541921,54,Professional & technical services,24,0.27440618682398865,12,4,0.13847306986328878,23,0.7667655938620739,0.10584459897996226,10.0,0.1685615878440264,0.9811487782591422,"Photography Studios, Portrait",0.1545116598607184,3.0,0.0475272458782403,24.0,False
111332,11,"Agriculture, forestry, fishing",24,0.260467389378924,9,3,0.1340189026697597,24,0.7278167989227542,0.13737697795125198,10.0,0.12309041142767202,0.7164740694032059,Grape Vineyards,0.5028029069143388,3.0,0.1699029817226525,24.0,True
111140,11,"Agriculture, forestry, fishing",24,0.2584091831355877,10,4,0.13753757042105774,24,0.7220656103262862,0.1165541568425958,10.0,0.1418550262929919,0.8256975240769239,Wheat Farming,0.3335614018906874,3.0,0.1060246354656905,24.0,False
311710,31,Manufacturing - food/textiles,13,0.24426234383242104,7,3,0.1495219971000692,13,0.6825354897954338,0.14592054794904633,10.0,0.09834179588337472,0.5724194587681826,Seafood Product Preparation and Packaging,0.2103830625255174,2.0,0.0616627350378954,24.0,False
111160,11,"Agriculture, forestry, fishing",24,0.2415031792472512,10,4,0.15126147397135384,24,0.6748256327539525,0.12286689415080536,10.0,0.11863628509644585,0.6905478743311814,Rice Farming,0.5268150276195475,3.0,0.1824557705768934,24.0,False
311313,31,Manufacturing - food/textiles,24,0.2393035188713063,10,4,0.178674108411354,24,0.6686791827996804,0.13395024855227738,10.0,0.10535327031902891,0.6132312455122828,Beet Sugar Manufacturing,0.3551715310079403,3.0,0.1324290060833967,24.0,False
711510,71,"Arts, entertainment & recreation",24,0.23411214147740544,12,4,0.12301402479546254,23,0.6541730609936521,0.08161950631990329,10.0,0.15249263515750217,0.887616001913467,"Independent Artists, Writers, and Performers",0.1233680158509914,3.0,0.0283135936094944,24.0,False
111910,11,"Agriculture, forestry, fishing",24,0.232242317485499,8,3,0.1379817083787778,24,0.6489482636952905,0.27798429640206995,10.0,0.0,0.0,Tobacco Farming,1.0,2.0,0.3938896687024243,24.0,False
492110,49,Warehousing & couriers,24,0.22041726959096725,12,4,0.14950778693558497,23,0.6159058604745717,0.07223575907278082,10.0,0.14818151051818643,0.8625221787780235,Couriers and Express Delivery Services,0.2601005063705051,4.0,0.1097525120025709,23.0,True
722320,72,Accommodation & food services,24,0.2160679532681528,12,4,0.11202377192120089,23,0.6037526865547144,0.10136903310569442,10.0,0.11469892016245839,0.6676295995097741,Caterers,0.187340576997368,2.0,0.0478863171619254,24.0,False
711211,71,"Arts, entertainment & recreation",24,0.21434334715054418,4,2,0.12371685039317078,24,0.5989336675331259,0.17368028664359106,10.0,0.04066306050695312,0.2366880417239052,Sports Teams and Clubs,0.6849660772756375,2.0,0.2880664619697913,24.0,True
813940,81,Other services,24,0.20886622403106686,10,4,0.11660005924859522,24,0.583629094374739,0.1837222515926757,10.0,0.02514397243839117,0.14635587000602235,Political Organizations,0.8255775692426478,3.0,0.3411242629276227,24.0,False
532284,53,Real estate,7,0.2023211242864416,8,3,0.11371790151784292,7,0.5653403037659721,0.3988311654408957,10.0,0.0,0.0,Recreational Goods Rental,1.0,2.0,0.4660754561700608,24.0,False
512132,51,Information,24,0.19866723484877202,8,3,0.08326741816485271,24,0.5551303418951847,0.2848331888752064,10.0,0.0,0.0,Drive-In Motion Picture Theaters,1.0,2.0,0.6369985476570107,24.0,False
111199,11,"Agriculture, forestry, fishing",24,0.19540880928973814,10,4,0.12085278203165235,24,0.5460254137674871,0.09924090208766677,10.0,0.09616790720207137,0.5597658746923978,All Other Grain Farming,0.3257109070028639,3.0,0.1122257451042999,24.0,False
532281,53,Real estate,7,0.19165973375549034,10,4,0.09386214190245545,7,0.5355494760281709,0.22428364696428787,10.0,0.0,0.0,Formal Wear and Costume Rental,0.3098821570729432,3.0,0.0799700206336417,24.0,False
111333,11,"Agriculture, forestry, fishing",24,0.18885469780001857,6,2,0.10819218404485538,24,0.5277114418894532,0.2097659665145842,10.0,0.0,0.0,Strawberry Farming,0.6068878433142275,2.0,0.1858578126465759,24.0,True
221114,22,Utilities,13,0.1869691062071745,12,4,0.09557356661862386,12,0.522442585621297,0.08483758873569712,10.0,0.10213151747147738,0.5944783439131767,Solar Electric Power Generation,0.1827598002236947,4.0,0.057209390378529,23.0,True
711130,71,"Arts, entertainment & recreation",24,0.1804846610186623,12,4,0.07873825120663651,23,0.5043232803556879,0.07848615375575384,10.0,0.10199850726290847,0.593704129542616,Musical Groups and Artists,0.1065969331084813,4.0,0.0284640819121847,23.0,True
512199,51,Information,24,0.17929224968943291,2,1,0.060725595955092526,24,0.5009913584643972,0.07630500430085418,10.0,0.10298724538857873,0.5994592912993815,Other Motion Picture and Video Industries,0.0504236547266453,2.0,0.0158752959973148,24.0,False
532282,53,Real estate,7,0.17923951562006088,1,1,0.09259092452740404,6,0.5008440051175692,0.14219237436651974,10.0,0.03704714125354114,0.21564081024521453,Video Tape and Disc Rental,0.2334980753552644,1.0,0.0867315168058485,23.0,True
721211,72,Accommodation & food services,24,0.17699762745349365,8,3,0.10438074490339407,24,0.4945795592196607,0.2599581636655687,10.0,0.0,0.0,RV (Recreational Vehicle) Parks and Campgrounds,1.0,2.0,0.5063008352740651,24.0,False
722330,72,Accommodation & food services,24,0.17018998397243745,12,4,0.06870154684241085,23,0.47555714993301623,0.16642956765948685,10.0,0.0037604163129505985,0.021888307522418608,Mobile Food Services,0.7224599297788913,2.0,0.2700548063068484,24.0,False
112930,11,"Agriculture, forestry, fishing",24,0.16580785305709358,12,4,0.1024303233929889,23,0.4633122831077641,0.06462954286122904,10.0,0.10117831019586454,0.5889299970694067,Fur-Bearing Animal and Rabbit Production,0.2084804172852658,4.0,0.0841113865891641,23.0,True
111336,11,"Agriculture, forestry, fishing",24,0.16138627446856504,9,3,0.06850083432814448,24,0.4509571887438912,0.18700766292037357,10.0,0.0,0.0,Fruit and Tree Nut Combination Farming,0.566409449628434,2.0,0.181546128735546,24.0,False
111191,11,"Agriculture, forestry, fishing",24,0.15744809058559478,10,4,0.07121016287778255,24,0.439952830792951,0.09179591590541894,10.0,0.06565217468017584,0.3821425260725146,Oilseed and Grain Combination Farming,0.3201079643731597,3.0,0.1190824048969923,24.0,False
111110,11,"Agriculture, forestry, fishing",24,0.1550389506864644,10,4,0.06632907478929782,24,0.4332210380194943,0.08203031168873018,10.0,0.07300863899773422,0.4249624002193941,Soybean Farming,0.3808289618254488,3.0,0.1483473930889036,24.0,False
525990,52,Finance & insurance,24,0.1540569727233974,12,4,0.08148258518810954,23,0.43047712424435236,0.0601988809994175,10.0,0.09385809172397991,0.546321099620449,Other Financial Vehicles,0.1419487627399949,3.0,0.0519243874268047,24.0,False
115115,11,"Agriculture, forestry, fishing",24,0.15094465584984204,6,2,0.06660289907212684,24,0.4217804635623928,0.10412963994773776,10.0,0.04681501590210428,0.27249681403709985,Farm Labor Contractors and Crew Leaders,0.4099883814809945,2.0,0.1467252882258272,24.0,True
713110,71,"Arts, entertainment & recreation",24,0.15089971044355516,6,2,0.06832593638506712,24,0.4216548738607107,0.20298017297014131,10.0,0.0,0.0,Amusement and Theme Parks,0.6999477432564047,2.0,0.3044249485197479,24.0,True
713990,71,"Arts, entertainment & recreation",24,0.14970881386494314,7,3,0.09237140827460788,24,0.41832718459504026,0.1450567880652485,10.0,0.004652025799694648,0.027078111259985778,All Other Amusement and Recreation Industries,0.6210093900470337,2.0,0.2521817913473798,24.0,False
482112,48,Transportation,24,0.14961463639650838,12,4,0.07536566611349682,23,0.4180640271081461,0.12376636019357838,10.0,0.025848276202929996,0.15045542072181178,Short Line Railroads,0.3698266809223485,4.0,0.1320752519160322,23.0,True
561920,56,Administrative & waste services,24,0.149178030076577,10,4,0.05484147052141273,24,0.4168440301829279,0.11069127960736143,10.0,0.03848675046921558,0.22402036362505437,Convention and Trade Show Organizers,0.104275993754802,1.0,0.02916703638303,23.0,False
611710,61,Educational services,24,0.14899448325561734,6,2,0.08291524980533198,24,0.4163311503940152,0.06651152228130469,10.0,0.08248296097431265,0.48010971789152707,Educational Support Services,0.2291020253722218,4.0,0.0750838603165578,23.0,False
111998,11,"Agriculture, forestry, fishing",24,0.14822949478424374,9,3,0.06892052588793332,24,0.4141935643346795,0.13600623055827646,10.0,0.012223264225967284,0.07114812404795161,All Other Miscellaneous Crop Farming,0.4979653372075746,3.0,0.1529708902438527,24.0,True
512110,51,Information,24,0.14800681483017497,2,1,0.06287131773623207,24,0.4135713359177516,0.06286308894303436,10.0,0.08514372588714061,0.4955972692182955,Motion Picture and Video Production,0.069028747579407,3.0,0.0250194514573711,24.0,False
611620,61,Educational services,24,0.14773971782088063,7,3,0.07497557628653867,24,0.412824994155852,0.08735483803027887,10.0,0.06038487979060177,0.3514831094655811,Sports and Recreation Instruction,0.2746639168456716,2.0,0.1122014222617647,24.0,False
