ind,label,excess_recurrence,se,t,n
1,Agriculture/fishing/forestry,3.904533795913738,0.835788561956675,4.67167651441985,13408
11,Entertainment/recreation,3.6945567746786203,1.0162106087465452,3.6356211427823086,6145
13,Educational services,3.447438749507908,0.4973671052020444,6.931376670170945,24195
15,Public admin./armed forces,2.654534782607371,0.8367461879181914,3.1724492097320485,6337
14,Social/prof. services,2.000402990541027,0.46501929417938836,4.301763422679278,22073
8,FIRE,1.5060040218070045,0.5656149000630134,2.6625960908017543,11528
5,Transport./comm./utilities,1.4956572385094986,0.561622194362936,2.66310208806129,13982
3,Construction,1.2607435344344518,0.442653387198682,2.848150654427446,32251
10,Personal services,1.003548689733795,0.5415833131368154,1.8529904178939822,17270
7,Retail,0.899892184453732,0.32893782577416136,2.7357516039264222,40099
6,Wholesale,0.8329323630599436,0.8116331481804233,1.0262424162040082,6734
4,Manufacturing,0.703849603447209,0.3546053939833716,1.9848812663019288,32733
9,Business services,0.25800649748723703,0.4364129954009938,0.5911980170301077,22696
12,Healthcare,0.125530408809673,0.4459841673180411,0.2814683076409628,17055
2,Mining,-0.7863480609176077,1.850590972678452,-0.42491726833590204,1594
