ind,label,excess_recurrence,se,t,n
1,Agriculture/fishing/forestry,5.071151495351022,0.9560413574703752,5.304322303345712,50447
13,Educational services,4.88240517350852,0.45035002316060646,10.841356550274513,157289
14,Social/prof. services,2.0441862918963167,0.4513442740826086,4.529106514204218,123010
11,Entertainment/recreation,1.995666347064011,0.5459394662722201,3.655471843226146,82919
5,Transport./comm./utilities,1.9814931201111134,0.4909700705353327,4.035873547140213,101092
15,Public admin./armed forces,1.7361303114344684,0.5791248853033196,2.9978513365474897,45458
3,Construction,1.689421740638687,0.3643794497850008,4.6364352919340455,208299
4,Manufacturing,1.489269166657707,0.25681727855258857,5.798944584457734,278351
6,Wholesale,1.2780054648877164,0.5280809667247812,2.4200937837507253,50734
7,Retail,0.6404844636978535,0.2630780280384904,2.434579841096215,236564
10,Personal services,0.6337932499234105,0.4651744018276411,1.362485225827725,73713
9,Business services,0.5922466855558779,0.3620162196399317,1.6359672672813883,151930
12,Healthcare,0.5659300927615379,0.32190627201572236,1.7580586088546206,124288
2,Mining,0.5586639317763378,1.4741070392956779,0.3789846441838206,11100
8,FIRE,0.10124631432516665,0.40943865261175993,0.247280792077955,70845
