month,excess_recurrence,se,t,n
1,2.810554304847852,0.46952424373982415,5.985962050567201,23313
2,0.4058586388112146,0.43243215244302924,0.9385487099382241,22445
3,0.32300542433615076,0.4363528657457813,0.7402390351764834,21276
4,0.5860370509227892,0.44928216564057943,1.3043852966814893,21118
5,0.9768941627838819,0.43366767978497195,2.2526330836281394,22587
6,3.6776613020103657,0.4740262127904076,7.758350071742671,23364
7,1.6528871449351519,0.45831584557390953,3.606436829312291,22885
8,0.40910387828817196,0.432697175325201,0.9454738824691955,22381
9,1.5990129806487192,0.44110056651145424,3.625053110438925,21541
10,0.5424620472503867,0.4563517567702408,1.1886927993650735,21327
11,1.4978899055026966,0.48273087907753875,3.102950257429249,22317
12,1.5676084840259896,0.4603401638349056,3.40532633730432,23546
