month,excess_recurrence,se,t,n
1,0.38970439885792996,0.3536022814653371,1.1020980895343342,157763
2,0.9716764873665746,0.3410224888283538,2.849303254764664,158438
3,0.9620668594157614,0.3348107019126015,2.873465077191284,159440
4,1.0417684033726777,0.37580906689626453,2.7720683057927378,163004
5,1.5531151541782366,0.34964083750694014,4.442030185182268,164933
6,2.8337431639404853,0.39371147200681234,7.197512303861579,163896
7,1.5774615582844493,0.3597754382646672,4.384572682040615,165520
8,1.0603355670823615,0.3515673888016612,3.0160236724361145,165850
9,0.7454626497535194,0.3547632562469194,2.1012961083959287,165841
10,1.2141693099613042,0.4002726188474723,3.0333558999297305,164345
11,2.3315777793764645,0.41516403713266775,5.616039856148227,161984
12,3.2010065583421974,0.39966996699118024,8.009124584567136,157912
