sector_label,mean_early,mean_late,n_early,n_late,delta
Educational services,0.27192101242988514,0.2190248540147457,16,16,-0.05289615841513945
Construction,0.2160480661849411,0.1694158820709696,31,31,-0.04663218411397149
"Agriculture, forestry, fishing",0.5035427464831416,0.46641062037340714,49,49,-0.03713212610973443
Accommodation & food services,0.36940181571370834,0.3399543531429333,14,14,-0.029447462570775018
Manufacturing - food/textiles,0.12388235873805821,0.10197078794650644,69,69,-0.021911570791551774
Administrative & waste services,0.12862661744776985,0.10721488559211646,44,44,-0.021411731855653385
Warehousing & couriers,0.14298505088867167,0.122811554649777,7,7,-0.020173496238894667
"Arts, entertainment & recreation",0.4797495408012786,0.4599897894306719,24,24,-0.01975975137060665
Professional & technical services,0.14012696052083465,0.12150192692609747,47,47,-0.018625033594737175
Information,0.13776960789915113,0.11960506078581812,28,28,-0.018164547113333013
Transportation,0.11937938725827872,0.10392351413442753,49,49,-0.015455873123851188
"Mining, quarrying, oil & gas",0.10095664310465648,0.0861377324635524,21,21,-0.014818910641104077
Retail trade - general,0.1280430963123226,0.11616338373331493,28,28,-0.011879712579007676
Wholesale trade,0.06762873248428562,0.0618020312457844,69,69,-0.005826701238501222
Other services,0.14199938249932942,0.13638468726809833,44,44,-0.005614695231231093
Manufacturing - paper/chemicals,0.05103563151700292,0.04647035524427729,96,96,-0.004565276272725627
Health care & social assistance,0.06954768733731094,0.06553332335093896,39,39,-0.004014363986371977
Manufacturing - metals/machinery,0.03900363318764129,0.03949206948027471,181,181,0.0004884362926334193
Real estate,0.16434436244603987,0.16879279643142464,24,24,0.004448433985384775
Management of companies,0.060883897168494655,0.06584209652810248,3,3,0.004958199359607826
Utilities,0.050011549084404146,0.05635413084044653,14,14,0.006342581756042381
Retail trade - specialty,0.12596693478804763,0.13281464192217918,29,29,0.006847707134131548
Finance & insurance,0.09120446950652425,0.11874276385217805,34,34,0.027538294345653802
Public administration,0.10046068321570906,0.13210579680924256,27,27,0.0316451135935335
