naics_code,sector_2d,sector_label,seasonal_index_early,peak_excess_early,peak_quarter_early,n_excess_obs_early,rank_early,seasonal_index_late,peak_excess_late,peak_quarter_late,n_excess_obs_late,rank_late,seasonal_index_delta,rank_delta,peak_quarter_changed
112519,11,"Agriculture, forestry, fishing",0.774322614645392,0.29303112945960574,3,10,28.0,0.24215777905487448,0.07331824752281205,3,13,131.0,-0.5321648355905175,-103.0,False
111310,11,"Agriculture, forestry, fishing",0.9040995438120868,0.33110155813039516,2,11,18.0,0.4096518173228706,0.11316454966672164,2,13,70.0,-0.4944477264892162,-52.0,False
111419,11,"Agriculture, forestry, fishing",0.7690121207278805,0.23448125590216992,4,10,29.0,0.3888710938070712,0.09592714937616159,4,12,73.0,-0.3801410269208093,-44.0,False
541870,54,Professional & technical services,0.44799907475679246,0.13757418092743068,4,9,62.0,0.073741264799786,0.023479546607182527,1,12,386.0,-0.37425780995700647,-324.0,True
611620,61,Educational services,0.9991007298182999,0.409267922365586,3,11,12.0,0.6459833041719731,0.22659070918447852,3,13,46.0,-0.35311742564632675,-34.0,False
111920,11,"Agriculture, forestry, fishing",0.9868464976981186,0.33030476943369214,4,10,15.0,0.6988398261049854,0.2155242444969775,4,12,38.0,-0.2880066715931332,-23.0,False
311710,31,Manufacturing - food/textiles,0.535570925111883,0.21362932832202822,3,11,50.0,0.25518482013298405,0.06883217056366958,3,13,122.0,-0.28038610497889893,-72.0,False
512199,51,Information,0.31894601063256467,0.12999924096708154,4,10,92.0,0.07491326775501307,0.015307077656468276,2,12,376.0,-0.2440327428775516,-284.0,True
711310,71,"Arts, entertainment & recreation",0.6359888553996293,0.2380908835204978,3,11,40.0,0.3935814963675899,0.11746941315535617,3,13,72.0,-0.24240735903203947,-32.0,False
324121,32,Manufacturing - paper/chemicals,0.6999733687815872,0.2582189818944499,4,10,33.0,0.4846950847003792,0.16231708833618,4,12,58.0,-0.21527828408120803,-25.0,False
711120,71,"Arts, entertainment & recreation",0.6551407781875919,0.22689019113000458,2,11,36.0,0.4454838935493981,0.14129378425066305,2,13,63.0,-0.20965688463819376,-27.0,False
311225,31,Manufacturing - food/textiles,0.22841624004424133,0.06693001914611624,2,11,139.0,0.03151868316655881,0.008061602840815231,3,13,801.0,-0.1968975568776825,-662.0,True
812199,81,Other services,0.24754558539044863,0.05570125256401009,2,11,127.0,0.05611770777066362,0.01772880909635943,3,13,479.0,-0.19142787761978503,-352.0,True
458320,45,Retail trade - specialty,0.3558887846770615,0.12709612655147118,1,10,80.0,0.16611850950878515,0.046092759659485345,1,12,184.0,-0.18977027516827633,-104.0,False
445240,44,Retail trade - general,0.3599720133100936,0.1054939351481641,4,10,78.0,0.17549597621304672,0.04254709805671741,2,13,176.0,-0.18447603709704688,-98.0,True
487110,48,Transportation,0.6406336584057701,0.22123299063255297,4,10,37.0,0.4621185920360206,0.1622615232162679,4,11,62.0,-0.1785150663697495,-25.0,False
711211,71,"Arts, entertainment & recreation",0.8368812468776701,0.3155206529115842,3,11,24.0,0.6597099958397843,0.21956188982828212,3,13,44.0,-0.17717125103788578,-20.0,False
111120,11,"Agriculture, forestry, fishing",1.0,0.4084624582569789,4,6,1.0,0.828570109047133,0.24376992144318663,4,5,22.0,-0.17142989095286698,-21.0,False
523910,52,Finance & insurance,0.2821584189070365,0.10253654349698907,4,9,115.0,0.11666444389551996,0.026395952825238243,3,13,260.0,-0.16549397501151658,-145.0,True
493130,49,Warehousing & couriers,0.47908672134374475,0.19339547835629226,4,10,57.0,0.3156485992850193,0.1058652737057272,4,12,95.0,-0.16343812205872543,-38.0,False
111150,11,"Agriculture, forestry, fishing",1.0,0.42561069145488134,3,5,1.0,0.8394900181376268,0.23248723689518758,4,12,20.0,-0.1605099818623732,-19.0,True
561330,56,Administrative & waste services,0.31988056698032813,0.1012464511940711,4,10,91.0,0.1595824747927018,0.040334965499246485,4,12,193.0,-0.16029809218762633,-102.0,False
112930,11,"Agriculture, forestry, fishing",0.2809022432184108,0.09114205424174096,1,10,117.0,0.12232445983354501,0.03884966243565811,4,12,255.0,-0.15857778338486578,-138.0,True
113110,11,"Agriculture, forestry, fishing",0.23951819521302123,0.08914730611558128,4,10,131.0,0.08436099206468589,0.03029986348655932,4,12,336.0,-0.15515720314833534,-205.0,False
111335,11,"Agriculture, forestry, fishing",0.9207104055717142,0.33146804125229334,4,10,17.0,0.7679716165971067,0.2370777984529383,4,11,29.0,-0.15273878897460758,-12.0,False
513191,51,Information,0.17194631979143346,0.07039893253141193,4,10,196.0,0.020012464110525877,0.00584192955388595,4,12,949.0,-0.1519338556809076,-753.0,False
561599,56,Administrative & waste services,0.22555994545519734,0.095890160026865,3,11,142.0,0.07884380132731021,0.015140012679167173,3,13,360.0,-0.14671614412788714,-218.0,False
561591,56,Administrative & waste services,0.20908818516824607,0.0596353114564742,4,10,160.0,0.06284535162244204,0.012665784904105921,4,12,431.0,-0.14624283354580403,-271.0,False
611513,61,Educational services,0.3708277190883779,0.13663645276996472,2,11,75.0,0.22588769040730658,0.0823251187310039,2,13,141.0,-0.14494002868107134,-66.0,False
336110,33,Manufacturing - metals/machinery,0.307251584374069,0.1081604916544265,4,10,99.0,0.1654055966032653,0.055359527180824784,4,12,186.0,-0.14184598777080373,-87.0,False
339999,33,Manufacturing - metals/machinery,0.28832034331180234,0.10636044245973246,4,10,109.0,0.14869277029971484,0.04633823887346692,4,12,206.0,-0.1396275730120875,-97.0,False
311613,31,Manufacturing - food/textiles,0.16606019239751935,0.052782411293101496,4,10,203.0,0.0265078418466162,0.005066349016356199,4,12,881.0,-0.13955235055090315,-678.0,False
112910,11,"Agriculture, forestry, fishing",0.4616508001697992,0.09756361320546611,3,11,60.0,0.32545577967958866,0.08281471338715325,4,12,90.0,-0.13619502049021054,-30.0,True
333112,33,Manufacturing - metals/machinery,0.24697430888116878,0.10613285093615045,2,11,128.0,0.1113201260415202,0.025539763573250503,2,13,276.0,-0.13565418283964858,-148.0,False
