metric,n,pearson_r,spearman_r,table,seasonality_quartile,mean_seasonal_index,mean_emp_share_lt20,mean_emp_share_ge100,median_avg_estab_size,sector_label
emp_share_lt20,826,0.32165941284739974,0.4964638794616911,correlation,,,,,,
emp_share_ge100,783,-0.28790646826254573,-0.4451047785431014,correlation,,,,,,
estab_share_lt20,826,0.3089285304421746,0.5249038777835235,correlation,,,,,,
avg_estab_size,826,-0.13975454181276903,-0.5185083344349924,correlation,,,,,,
,207,,,by_quartile,Q1 (least),0.022901436912729344,0.1278952280975008,0.5911528151786104,51.254901960784316,
,206,,,by_quartile,Q2,0.040479892513894986,0.19745216313612246,0.50277269620274,33.16708988641328,
,206,,,by_quartile,Q3,0.0748764522822096,0.3030294416502034,0.4068902897782777,14.91865228271191,
,207,,,by_quartile,Q4 (most),0.30503853650928714,0.397085819584438,0.30571234374367445,10.239285714285714,
,14,,,by_sector,,0.46795849359331393,0.5904783856668985,,6.061965471222932,"Agriculture, forestry, fishing"
,24,,,by_sector,,0.4606962196582989,0.27708791041518066,,16.87355252924029,"Arts, entertainment & recreation"
,14,,,by_sector,,0.34499383308479137,0.4207781791231545,,11.410612558663288,Accommodation & food services
,17,,,by_sector,,0.27211850952231426,0.3628212534696154,,11.287234042553191,Educational services
,12,,,by_sector,,0.22213637660095784,0.4156757513308836,,6.819565612504544,Information
,31,,,by_sector,,0.19323107939863865,0.3832393854720805,,10.829150262467191,Construction
,24,,,by_sector,,0.16596685953516838,0.5608985068543907,,7.479057187017002,Real estate
,10,,,by_sector,,0.13612083607133182,0.4468848864279182,,7.90619712652306,Retail trade
,41,,,by_sector,,0.13597827021967981,0.5956189700632167,,7.04330697422136,Other services
,47,,,by_sector,,0.1287438348777458,0.3684045182325889,,9.17223597359736,Professional & technical
,44,,,by_sector,,0.11545731301673494,0.309759014444782,,14.380593508378425,Administrative & waste
,15,,,by_sector,,0.10949007853190815,0.2182861973110419,,22.44736842105263,Mining
,54,,,by_sector,,0.10940358743054442,0.2667725149697426,,16.729771832590906,Transportation
,26,,,by_sector,,0.06998165917360064,0.28143361404693,,16.172321866906973,Finance & insurance
,39,,,by_sector,,0.06647273486699437,0.31717565140069004,,16.30648610121169,Health care & social assistance
,68,,,by_sector,,0.06317421326956164,0.30760118780786716,,15.167734991520632,Wholesale trade
,3,,,by_sector,,0.06131424110411127,0.1963656701367821,,13.659677909450016,Management of companies
,329,,,by_sector,,0.050918969591105694,0.09856829195343961,,56.954314720812185,Manufacturing
,14,,,by_sector,,0.04873471709916718,0.23777254705332312,,18.06823495032145,Utilities
