tail,state_a,state_b,n_a,n_b,n_intersection,n_union,jaccard
top,Alabama,Alaska,9,5,0,14,0.0
top,Alabama,Arizona,9,9,0,18,0.0
top,Alabama,Arkansas,9,8,2,15,0.13333333333333333
top,Alabama,California,9,10,2,17,0.11764705882352941
top,Alabama,Colorado,9,8,2,15,0.13333333333333333
top,Alabama,Connecticut,9,8,0,17,0.0
top,Alabama,DC,9,4,0,13,0.0
top,Alabama,Delaware,9,5,0,14,0.0
top,Alabama,Florida,9,10,1,18,0.05555555555555555
top,Alabama,Georgia,9,9,2,16,0.125
top,Alabama,Hawaii,9,6,1,14,0.07142857142857142
top,Alabama,Idaho,9,7,0,16,0.0
top,Alabama,Illinois,9,9,0,18,0.0
top,Alabama,Indiana,9,9,0,18,0.0
top,Alabama,Iowa,9,8,0,17,0.0
top,Alabama,Kansas,9,8,0,17,0.0
top,Alabama,Kentucky,9,8,3,14,0.21428571428571427
top,Alabama,Louisiana,9,8,0,17,0.0
top,Alabama,Maine,9,6,0,15,0.0
top,Alabama,Maryland,9,8,2,15,0.13333333333333333
top,Alabama,Massachusetts,9,8,1,16,0.0625
top,Alabama,Michigan,9,9,0,18,0.0
top,Alabama,Minnesota,9,9,1,17,0.058823529411764705
top,Alabama,Mississippi,9,7,1,15,0.06666666666666667
top,Alabama,Missouri,9,9,2,16,0.125
top,Alabama,Montana,9,6,0,15,0.0
top,Alabama,Nebraska,9,7,0,16,0.0
top,Alabama,Nevada,9,7,2,14,0.14285714285714285
top,Alabama,New Hampshire,9,7,1,15,0.06666666666666667
top,Alabama,New Jersey,9,9,0,18,0.0
top,Alabama,New Mexico,9,7,1,15,0.06666666666666667
top,Alabama,New York,9,9,0,18,0.0
top,Alabama,North Carolina,9,9,1,17,0.058823529411764705
top,Alabama,North Dakota,9,6,0,15,0.0
top,Alabama,Ohio,9,9,1,17,0.058823529411764705
top,Alabama,Oklahoma,9,8,2,15,0.13333333333333333
top,Alabama,Oregon,9,8,0,17,0.0
top,Alabama,Pennsylvania,9,9,1,17,0.058823529411764705
top,Alabama,Rhode Island,9,6,0,15,0.0
top,Alabama,South Carolina,9,9,2,16,0.125
top,Alabama,South Dakota,9,6,0,15,0.0
top,Alabama,Tennessee,9,9,0,18,0.0
top,Alabama,Texas,9,10,2,17,0.11764705882352941
top,Alabama,Utah,9,8,1,16,0.0625
top,Alabama,Vermont,9,6,0,15,0.0
top,Alabama,Virginia,9,9,1,17,0.058823529411764705
top,Alabama,Washington,9,9,1,17,0.058823529411764705
top,Alabama,West Virginia,9,6,0,15,0.0
top,Alabama,Wisconsin,9,9,0,18,0.0
top,Alabama,Wyoming,9,5,1,13,0.07692307692307693
top,Alaska,Arizona,5,9,0,14,0.0
top,Alaska,Arkansas,5,8,0,13,0.0
top,Alaska,California,5,10,0,15,0.0
top,Alaska,Colorado,5,8,0,13,0.0
top,Alaska,Connecticut,5,8,0,13,0.0
top,Alaska,DC,5,4,0,9,0.0
top,Alaska,Delaware,5,5,0,10,0.0
top,Alaska,Florida,5,10,0,15,0.0
top,Alaska,Georgia,5,9,0,14,0.0
top,Alaska,Hawaii,5,6,0,11,0.0
top,Alaska,Idaho,5,7,0,12,0.0
top,Alaska,Illinois,5,9,0,14,0.0
top,Alaska,Indiana,5,9,0,14,0.0
top,Alaska,Iowa,5,8,0,13,0.0
top,Alaska,Kansas,5,8,0,13,0.0
top,Alaska,Kentucky,5,8,0,13,0.0
top,Alaska,Louisiana,5,8,0,13,0.0
top,Alaska,Maine,5,6,0,11,0.0
top,Alaska,Maryland,5,8,0,13,0.0
top,Alaska,Massachusetts,5,8,0,13,0.0
top,Alaska,Michigan,5,9,0,14,0.0
top,Alaska,Minnesota,5,9,0,14,0.0
top,Alaska,Mississippi,5,7,0,12,0.0
top,Alaska,Missouri,5,9,0,14,0.0
top,Alaska,Montana,5,6,0,11,0.0
top,Alaska,Nebraska,5,7,0,12,0.0
top,Alaska,Nevada,5,7,0,12,0.0
top,Alaska,New Hampshire,5,7,1,11,0.09090909090909091
top,Alaska,New Jersey,5,9,0,14,0.0
top,Alaska,New Mexico,5,7,0,12,0.0
top,Alaska,New York,5,9,0,14,0.0
top,Alaska,North Carolina,5,9,0,14,0.0
top,Alaska,North Dakota,5,6,0,11,0.0
top,Alaska,Ohio,5,9,0,14,0.0
top,Alaska,Oklahoma,5,8,0,13,0.0
top,Alaska,Oregon,5,8,0,13,0.0
top,Alaska,Pennsylvania,5,9,0,14,0.0
top,Alaska,Rhode Island,5,6,0,11,0.0
top,Alaska,South Carolina,5,9,0,14,0.0
top,Alaska,South Dakota,5,6,0,11,0.0
top,Alaska,Tennessee,5,9,0,14,0.0
top,Alaska,Texas,5,10,0,15,0.0
top,Alaska,Utah,5,8,0,13,0.0
top,Alaska,Vermont,5,6,0,11,0.0
top,Alaska,Virginia,5,9,0,14,0.0
top,Alaska,Washington,5,9,0,14,0.0
top,Alaska,West Virginia,5,6,0,11,0.0
top,Alaska,Wisconsin,5,9,0,14,0.0
top,Alaska,Wyoming,5,5,0,10,0.0
top,Arizona,Arkansas,9,8,0,17,0.0
top,Arizona,California,9,10,1,18,0.05555555555555555
top,Arizona,Colorado,9,8,0,17,0.0
top,Arizona,Connecticut,9,8,1,16,0.0625
top,Arizona,DC,9,4,0,13,0.0
top,Arizona,Delaware,9,5,0,14,0.0
top,Arizona,Florida,9,10,2,17,0.11764705882352941
top,Arizona,Georgia,9,9,1,17,0.058823529411764705
top,Arizona,Hawaii,9,6,1,14,0.07142857142857142
top,Arizona,Idaho,9,7,1,15,0.06666666666666667
top,Arizona,Illinois,9,9,0,18,0.0
top,Arizona,Indiana,9,9,0,18,0.0
top,Arizona,Iowa,9,8,0,17,0.0
top,Arizona,Kansas,9,8,2,15,0.13333333333333333
top,Arizona,Kentucky,9,8,0,17,0.0
top,Arizona,Louisiana,9,8,2,15,0.13333333333333333
top,Arizona,Maine,9,6,0,15,0.0
top,Arizona,Maryland,9,8,0,17,0.0
top,Arizona,Massachusetts,9,8,0,17,0.0
top,Arizona,Michigan,9,9,0,18,0.0
top,Arizona,Minnesota,9,9,0,18,0.0
top,Arizona,Mississippi,9,7,1,15,0.06666666666666667
top,Arizona,Missouri,9,9,2,16,0.125
top,Arizona,Montana,9,6,1,14,0.07142857142857142
top,Arizona,Nebraska,9,7,1,15,0.06666666666666667
top,Arizona,Nevada,9,7,0,16,0.0
top,Arizona,New Hampshire,9,7,0,16,0.0
top,Arizona,New Jersey,9,9,0,18,0.0
top,Arizona,New Mexico,9,7,1,15,0.06666666666666667
top,Arizona,New York,9,9,0,18,0.0
top,Arizona,North Carolina,9,9,1,17,0.058823529411764705
top,Arizona,North Dakota,9,6,0,15,0.0
top,Arizona,Ohio,9,9,1,17,0.058823529411764705
top,Arizona,Oklahoma,9,8,0,17,0.0
top,Arizona,Oregon,9,8,1,16,0.0625
top,Arizona,Pennsylvania,9,9,1,17,0.058823529411764705
top,Arizona,Rhode Island,9,6,1,14,0.07142857142857142
top,Arizona,South Carolina,9,9,2,16,0.125
top,Arizona,South Dakota,9,6,0,15,0.0
top,Arizona,Tennessee,9,9,2,16,0.125
top,Arizona,Texas,9,10,1,18,0.05555555555555555
top,Arizona,Utah,9,8,0,17,0.0
top,Arizona,Vermont,9,6,0,15,0.0
top,Arizona,Virginia,9,9,2,16,0.125
top,Arizona,Washington,9,9,0,18,0.0
top,Arizona,West Virginia,9,6,0,15,0.0
top,Arizona,Wisconsin,9,9,1,17,0.058823529411764705
top,Arizona,Wyoming,9,5,0,14,0.0
top,Arkansas,California,8,10,2,16,0.125
top,Arkansas,Colorado,8,8,2,14,0.14285714285714285
top,Arkansas,Connecticut,8,8,1,15,0.06666666666666667
top,Arkansas,DC,8,4,0,12,0.0
top,Arkansas,Delaware,8,5,2,11,0.18181818181818182
top,Arkansas,Florida,8,10,1,17,0.058823529411764705
top,Arkansas,Georgia,8,9,3,14,0.21428571428571427
top,Arkansas,Hawaii,8,6,0,14,0.0
