naics_code,sector_2d,sector_label,n_states,n_state_industry_slots,mean_seasonal_index,mean_peak_excess,median_peak_excess,in_national_top_percentile,in_national_bottom_percentile,share_states
111421,11,Agriculture,15,15,0.9948110832399089,0.4718456727244289,0.4951139175692925,False,False,0.29411764705882354
713930,71,Arts/entertain,14,14,0.9963209595083631,0.44884154022432204,0.4356278041140386,False,False,0.27450980392156865
238990,23,Construction,12,12,1.0,0.5367254205014579,0.5458686786391589,False,False,0.23529411764705882
713910,71,Arts/entertain,11,11,1.0,0.5210403749728294,0.5310256532758332,False,False,0.21568627450980393
111998,11,Agriculture,11,11,0.9708452629568805,0.4513583789534641,0.4370177100257262,True,False,0.21568627450980393
711212,71,Arts/entertain,10,10,0.982985667770255,0.47887660757267014,0.5164660604963438,False,False,0.19607843137254902
532284,53,Real estate,10,10,0.9745751189792033,0.39984319691287806,0.37476979725350523,True,False,0.19607843137254902
111211,11,Agriculture,9,9,0.986899566958168,0.5388482535261738,0.5854898913169261,False,False,0.17647058823529413
111422,11,Agriculture,9,9,0.9750346758553238,0.4554416484868942,0.4329330328865586,False,False,0.17647058823529413
721214,72,Accommodation/food,8,8,0.9969478317203669,0.5182100092448885,0.542720386033187,False,False,0.1568627450980392
312113,31,Mfg-food,8,8,0.976801795184448,0.4391574201392228,0.4229989445169485,False,False,0.1568627450980392
721211,72,Accommodation/food,8,8,0.9703259512035228,0.3902846890535161,0.40051963051906736,False,False,0.1568627450980392
111219,11,Agriculture,8,8,0.9456250225922647,0.4021394879084653,0.4040490784868559,True,False,0.1568627450980392
324121,32,Mfg-chem,7,7,1.0,0.5553083468994392,0.5291746376590122,False,False,0.13725490196078433
237310,23,Construction,7,7,1.0,0.479971604520685,0.4517808275817856,False,False,0.13725490196078433
115114,11,Agriculture,7,7,0.9810235453555853,0.4141035215455314,0.4045854158446397,False,False,0.13725490196078433
711320,71,Arts/entertain,7,7,0.9662801654967181,0.4035999285618388,0.3905779304991256,False,False,0.13725490196078433
813990,81,Other services,6,6,1.0,0.5350353706863628,0.49730390678692227,False,False,0.11764705882352941
561730,56,Admin/waste,6,6,0.9963887731996651,0.5067206867362356,0.5061940480327547,False,False,0.11764705882352941
111150,11,Agriculture,6,6,0.9869395565143741,0.5096517465992464,0.5376428765408348,False,False,0.11764705882352941
115111,11,Agriculture,6,6,0.978951224946672,0.42415870862802896,0.3921533529962278,False,False,0.11764705882352941
115113,11,Agriculture,6,6,0.964255766458257,0.507222434791116,0.5281704292494465,True,False,0.11764705882352941
713990,71,Arts/entertain,6,6,0.9606399256678704,0.41885557003266155,0.43807606837988855,False,False,0.11764705882352941
611710,61,Education,6,6,0.9203929969656187,0.39115489631500644,0.4169479577463733,False,False,0.11764705882352941
713110,71,Arts/entertain,6,6,0.90723583672976,0.3598638348747984,0.36904552386083367,False,False,0.11764705882352941
111331,11,Agriculture,5,5,1.0,0.5299371000934714,0.4975160323741476,False,False,0.09803921568627451
713940,71,Arts/entertain,5,5,0.9665654568996122,0.44662606471526767,0.4427631224406385,False,False,0.09803921568627451
424590,42,Wholesale,5,5,0.9117877960766121,0.3902210061705647,0.4278731400908923,False,False,0.09803921568627451
