sector_2d,sector_label,n_state_industry_slots,n_states,n_unique_naics,mean_seasonal_index,mean_peak_excess,n_national_top_percentile,n_national_bottom_percentile,share_states
11,Agriculture,122,49,31,0.9698395008101854,0.4623705109790234,32,0,0.9607843137254902
71,Arts/entertain,87,44,18,0.9655207448189649,0.43521011368709134,0,0,0.8627450980392157
23,Construction,25,17,8,0.9958594236249667,0.506270475963928,0,0,0.3333333333333333
72,Accommodation/food,23,21,7,0.9892491253349632,0.45407563513677024,2,0,0.4117647058823529
81,Other services,22,18,10,0.9629049802654438,0.4693261450514196,0,0,0.35294117647058826
31,Mfg-food,20,17,8,0.9694962912117205,0.4655421688463218,0,0,0.3333333333333333
48,Transportation,16,14,8,0.9924982181440163,0.451843437268337,0,0,0.27450980392156865
61,Education,12,11,3,0.9350597190093491,0.4089259899608287,0,0,0.21568627450980393
56,Admin/waste,11,9,4,0.9650490489125617,0.4454463671676411,0,0,0.17647058823529413
42,Wholesale,10,10,4,0.9394806275037549,0.39889106744217123,0,0,0.19607843137254902
53,Real estate,10,9,3,0.9347499381695332,0.3686913405387994,8,0,0.17647058823529413
54,Prof services,10,9,5,0.9501171431989481,0.4238403873214235,0,0,0.17647058823529413
44,Retail-gen,9,8,5,0.8902694793857573,0.3703473973039728,0,0,0.1568627450980392
32,Mfg-chem,8,8,2,1.0,0.5572269386218036,0,0,0.1568627450980392
92,Public admin,7,6,5,0.9824185369999496,0.5030953982744605,0,0,0.11764705882352941
45,Retail-spec,5,5,2,0.999539503890469,0.4379614821626907,0,0,0.09803921568627451
49,Warehousing,5,5,1,0.8984908165101505,0.3980157702944065,0,0,0.09803921568627451
51,Information,4,4,2,0.9154423288790279,0.348600669072863,3,0,0.0784313725490196
21,Mining,3,3,3,0.9038696480109302,0.40147356360506,0,0,0.058823529411764705
33,Mfg-metals,2,2,2,0.889121751929367,0.3808157428098595,0,0,0.0392156862745098
52,Finance,1,1,1,0.8940788355505835,0.388949086402624,0,0,0.0196078431372549
62,Healthcare,1,1,1,0.7107175655925138,0.3069459363438841,0,0,0.0196078431372549
